tconst,primaryTitle,startYear,runtimeMinutes,poster_path,averageRating,numVotes,W_Note,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Science Fiction,Sport,Thriller,War,Western
tt0037913,Mildred Pierce,1945,111,/iSXi0xvPUPwEI2xxWZrcKJXpUYc.jpg,7.9,28955,7.482985822,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0038109,Spellbound,1945,111,/dPAox7jGScLBvxKLeRptJIBF7v.jpg,7.5,52607,7.338932055,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
tt0038355,The Big Sleep,1946,114,/lraHo9D8c0YWfxsKqT5P5sVqMKN.jpg,7.9,90954,7.705957535,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
tt0038559,Gilda,1946,110,/46eKPjoWEyNBAQKDoXEcDFBcaUw.jpg,7.6,35659,7.352716003,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
tt0038650,It's a Wonderful Life,1946,130,/mV3VcmMJN6Zwahj42dy9WwPUyRI.jpg,8.6,502489,8.524169035,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0038787,Notorious,1946,102,/yUjKnpColooH88BFQJwwgNOQ56N.jpg,7.9,107946,7.730758353,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
tt0038890,"Rome, Open City",1945,103,/ijGV4v8JxgbNzgEhqKdzHdaZn8a.jpg,8,29407,7.540500303,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
tt0039628,Miracle on 34th Street,1947,96,/qyAc9X9XHloIqy3oJbbZ44Cw0Hm.jpg,7.9,55137,7.619230817,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0040522,Bicycle Thieves,1948,89,/ihLPR2hiHljvvdTzHk6NeNTVMXf.jpg,8.3,176518,8.138724084,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0040525,The Lady from Shanghai,1947,87,/whqdqWavNMSoeXTx1X3DauO1LG6.jpg,7.5,33691,7.287020156,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
tt0040724,Red River,1948,133,/jyNTsAzrIWB441OtvfbgKtx1kFS.jpg,7.8,34738,7.465204727,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
tt0040746,Rope,1948,80,/eUszJdcye8ZQgP2QTBZEMsCt1RO.jpg,7.9,155587,7.775406314,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
tt0040897,The Treasure of the Sierra Madre,1948,126,/pWcst7zVbi8Z8W6GFrdNE7HHRxL.jpg,8.2,133173,8.010334254,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt0042041,White Heat,1949,114,/nWYCKGwByyyCUBe0jsJp7r7k0GI.jpg,8.1,36087,7.649822384,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0042192,All About Eve,1950,138,/6numIZH6uR3NlJgY9m7nGH0jhs.jpg,8.2,139730,8.01788381,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0042332,Cinderella,1950,74,/4nssBcQUBadCTBjrAkX46mVEKts.jpg,7.3,175256,7.262547939,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0042876,Rashomon,1950,88,/vL7Xw04nFMHwnvXRFCmYYAzMUvY.jpg,8.2,181945,8.055033946,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0043014,Sunset Boulevard,1950,110,/sC4Dpmn87oz9AuxZ15Lmip0Ftgr.jpg,8.4,238285,8.267064208,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0043265,The African Queen,1951,105,/2Ypg0KhQfFYWILelvHGtSHHR0dk.jpg,7.7,84888,7.540746942,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0043274,Alice in Wonderland,1951,75,/20cvfwfaFqNbe9Fc3VEHJuPRxmn.jpg,7.3,155368,7.258418345,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0043278,An American in Paris,1951,114,/lyDXkvG53ldz6Cf7dbjJl7TaoP5.jpg,7.1,37133,7.059763733,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
tt0043338,Ace in the Hole,1951,111,/gPVPzHEsJBX02HtBtIQgYnfeqNQ.jpg,8.1,39491,7.673583911,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0043456,The Day the Earth Stood Still,1951,92,/x2DquTpLTq54aPFDnqlwY7apCC3.jpg,7.7,86300,7.542767296,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
